101l,50m,555.0085242408098
101l,49m,312.55141182738413
101l,45m,333.1129461907299
101l,48m,605.7234949387321
101l,51m,601.3828541001064
101l,55m,301.2812999467235
101l,47m,716.203516249334
101l,52m,791.855620671284
101l,56m,559.6744805540757
101l,57m,558.2759722962173
101l,54m,740.7900905700586
101l,53m,850.2461374533831
101l,58m,608.7128396377198
101l,6m,303.70431539691
101l,59m,305.276505061268
101l,61m,577.8806606286628
101l,60m,871.9152903569526
101l,62m,576.2093766648908
101l,64m,830.1118806606287
101l,63m,602.1529035695258
101l,65m,571.8327117741076
101l,66m,296.3654768247203
101l,67m,550.8082045817795
101l,68m,620.4304741608951
101l,70m,312.9552477357485
101l,71m,313.23335109216833
101l,69m,909.6979222163026
101l,75m,311.16302610548746
101l,73m,304.7282898241875
101l,74m,306.6893979754928
101l,7m,838.099094299414
101l,78m,304.7165689930741
101l,76m,305.42248268513583
101l,77m,291.68566862013853
101l,79m,557.766116142781
101l,90m,894.7490676611615
101l,81m,308.3111347895578
101l,72m,888.279168886521
101l,80m,301.81459776238677
101l,82m,598.5935002663825
101l,8m,738.3132658497602
101l,86m,563.9419286094832
101l,84m,620.9009584664536
101l,85m,638.1565495207668
101l,83m,875.8529568460309
101l,87m,341.2386787426745
101l,88m,814.4283431006926
101l,89m,712.5066595631326
101l,9m,610.2493340436868
101l,91m,3098.4725625998935
102l,13m,207.85828449653704
101l,92m,490.7911561001598
101l,93m,1033.0895045285029
101l,94m,313.7714437932872
101l,95m,311.3537559936068
101l,96m,634.1273308470965
101l,97m,307.865210442195
102l,100m,470.0122535961641
102l,10m,207.91848694725627
101l,98m,734.2733084709643
102l,11m,208.1257325519446
102l,103m,620.4885455514118
102l,104m,535.8470964304742
102l,101m,1193.418220564731
101l,99m,1025.4736281299947
102l,102m,800.7725093233884
102l,17m,215.50133191262654
102l,16m,209.47575919019712
102l,15m,841.3324453915823
102l,14m,1056.5215769845497
102l,12m,763.3958444326053
102l,19m,211.19818859882793
102l,21m,209.30047948854556
102l,18m,692.7320191795418
102l,20m,881.5514118273841
102l,22m,585.1720831113479
102l,23m,653.1694192860948
102l,25m,498.6600958977091
102l,24m,213.30367607884924
102l,26m,210.0506126798082
102l,28m,1347.8662759722963
102l,27m,211.51092168353756
102l,29m,951.770378263186
102l,30m,3011.0367607884923
102l,32m,203.427810335642
102l,31m,727.5178476291956
102l,33m,208.9067661161428
102l,35m,221.4192860948322
102l,39m,215.3446989877464
102l,34m,956.2344166222696
102l,37m,1385.8380394246137
102l,41m,213.22535961640915
102l,43m,204.5508790623335
102l,40m,513.153969099627
